DTYPE,id,cost,dataEntryString,gpUnit,gpValue,name,rarity,roll,weight,weightUnits,addDamageType,addMultiple,additionalDie,averageDmgPerTurn10K,baseDie,baseMulti,info,mainDamageType,mainDie,mainMultiple,variance,weaponType,meleeWeapon,rangedWeapon
SimpleMeleeWeapon,73,2,,1,0.0199999995529652,Dingy Quarterstaff,0,,4.0,lbs,4,0,0,2.0,2,1,Versatile (1d8),1,1,1,0.000982102367879528,0,7,
MartialRangeWeapon,74,33,,2,33.0,Heroic Force Net,4,,3.0,lbs,4,2,1,12.9949,1,1,"Special, thrown (range 5/15)",,2,3,2.87619774053865,3,,4
MartialRangeWeapon,75,450,,2,450.0,Exceptional Thunder Heavy Crossbow,2,,18.0,lbs,12,1,0,3.0069,1,1,"Ammunition (range 100/400), heavy, loading, two-handed",7,1,1,0.911037474278287,3,,2
MartialMeleeWeapon,76,10,,2,10.0,Worthless Battleaxe,0,,4.0,lbs,2,0,0,2.9889,3,1,Versatile (1d10),11,2,1,0.00162268780994602,2,0,
MartialRangeWeapon,77,10,,2,10.0,Normal Blowgun,1,,1.0,lbs,5,0,0,1.0,0,1,"Ammunition (range 25/100), loading",7,0,1,0.42643022657305,3,,0
SimpleRangeWeapon,78,225,,2,225.0,The Bee Knees Acid Light Crossbow,2,,5.0,lbs,0,1,2,6.9984,3,1,"Ammunition (range 80/320), loading, two-handed",7,3,1,1.18495826346356,1,,0
SimpleRangeWeapon,79,165,,0,0.0164999995831749,Glorious Acid Dart,4,,0.25,lbs,0,2,1,12.9863,1,1,"Finesse, thrown (range 20/60)",7,2,3,2.47171408334259,1,,1
SimpleMeleeWeapon,80,2,,1,0.0199999995529652,Junk Greatclub,0,,10.0,lbs,8,0,0,2.9815,3,1,Two-handed,1,2,1,0.000948153171939515,0,2,
SimpleMeleeWeapon,81,1,,1,0.00999999977648258,Rusty Club,0,,2.0,lbs,1,0,0,1.0,1,1,Light,1,0,1,0.00302133471046738,0,0,
SimpleRangeWeapon,82,25,,2,25.0,Destroyed Light Crossbow,0,,5.0,lbs,9,0,0,3.0067,3,1,"Ammunition (range 80/320), loading, two-handed",7,2,1,0.00473428145728274,1,,0
MartialMeleeWeapon,83,20,,2,20.0,Useful Glaive,1,,6.0,lbs,12,0,0,5.0033,4,1,"Heavy, reach, two-handed",11,4,1,0.36747038525329,2,2,
MartialMeleeWeapon,84,5,,2,5.0,Common Trident,1,,4.0,lbs,10,0,0,3.0421,2,1,"Thrown (range 20/60), versatile (1d8)",7,2,1,0.502990475392759,2,14,
MartialMeleeWeapon,85,990,,2,990.0,Outstanding Acid Greataxe,4,,7.0,lbs,0,2,5,42.1518,5,1,"Heavy, two-handed",11,6,3,2.65864192833825,2,3,
SimpleRangeWeapon,86,625,,2,625.0,Well Crafted Bludgeoning Light Crossbow,3,,5.0,lbs,1,2,3,22.996,3,1,"Ammunition (range 80/320), loading, two-handed",7,4,3,2.21561885816769,1,,0
MartialRangeWeapon,87,1,,2,1.0,Useful Net,1,,3.0,lbs,1,0,0,1.9823,1,1,"Special, thrown (range 5/15)",,1,1,0.391842711334778,3,,4
MartialRangeWeapon,88,450,,2,450.0,Valuable Cold Longbow,2,,2.0,lbs,2,1,0,2.9992,1,1,"Ammunition (range 150/600), heavy, two-handed",7,1,1,0.98190649462242,3,,3
MartialRangeWeapon,89,9,,2,9.0,Unusual Poison Net,2,,3.0,lbs,8,1,0,3.002,1,1,"Special, thrown (range 5/15)",,1,1,0.827671284697808,3,,4
MartialRangeWeapon,90,1650,,2,1650.0,Fabled Fire Longbow,4,,2.0,lbs,3,2,1,13.0021,1,1,"Ammunition (range 150/600), heavy, two-handed",7,2,3,1.81992192348452,3,,3
SimpleRangeWeapon,91,185,,0,0.0184999995326507,Magical Piercing Dart,3,,0.25,lbs,7,3,0,8.9875,1,1,"Finesse, thrown (range 20/60)",7,2,2,1.54216000777454,1,,1
MartialMeleeWeapon,92,10,,2,10.0,Junk Battleaxe,0,,4.0,lbs,6,0,0,3.0185,3,1,Versatile (1d10),11,2,1,0.00826427618373172,2,0,
MartialMeleeWeapon,93,90,,2,90.0,Sharp Bludgeoning Flail,2,,2.0,lbs,1,1,2,7.0019,3,1,-,1,3,1,1.16135806021176,2,1,
MartialMeleeWeapon,94,495,,2,495.0,GodKiller Thunder Warhammer,4,,2.0,lbs,12,2,3,23.0031,3,1,Versatile (1d10),1,4,3,2.12163955501614,2,16,
SimpleRangeWeapon,95,5,,0,0.000499999987368938,Destroyed Dart,0,,0.25,lbs,9,0,0,1.0,1,1,"Finesse, thrown (range 20/60)",7,0,1,0.00938730613833091,1,,1
MartialRangeWeapon,96,50,,2,50.0,Dingy Heavy Crossbow,0,,18.0,lbs,2,0,0,1.0,1,1,"Ammunition (range 100/400), heavy, loading, two-handed",7,0,1,0.00272976493553223,3,,2
MartialRangeWeapon,97,75,,2,75.0,Functional One Handed Crossbow,1,,3.0,lbs,1,0,0,2.0168,1,1,"Ammunition (range 30/120), light, loading",7,1,1,0.538139522179092,3,,1
SimpleMeleeWeapon,98,2,,1,0.0199999995529652,Dull Greatclub,1,,10.0,lbs,2,0,0,3.9786,3,1,Two-handed,1,3,1,0.430966660820685,0,2,
MartialRangeWeapon,99,10,,2,10.0,Dingy Blowgun,0,,1.0,lbs,4,0,0,1.0,0,1,"Ammunition (range 25/100), loading",7,0,1,0.00591306004419335,3,,0
SimpleRangeWeapon,100,33,,1,0.329999992623925,GodKiller Radiant Sling,4,,0.0,lbs,10,2,1,13.0108,1,1,Ammunition (range 30/120),1,2,3,2.94226643184544,1,,3
MartialRangeWeapon,101,675,,2,675.0,Sharp Cold One Handed Crossbow,2,,3.0,lbs,2,1,0,2.996,1,1,"Ammunition (range 30/120), light, loading",7,1,1,0.862312205865089,3,,1
MartialMeleeWeapon,102,30,,2,30.0,Useful Greataxe,1,,7.0,lbs,11,0,0,5.9975,5,1,"Heavy, two-handed",11,5,1,0.534191959719557,2,3,
MartialMeleeWeapon,103,15,,2,15.0,Functional Morningstar,1,,4.0,lbs,2,0,0,4.0129,3,1,-,7,3,1,0.56253162821388,2,9,
SimpleMeleeWeapon,104,2,,1,0.0199999995529652,Dingy Quarterstaff,0,,4.0,lbs,6,0,0,2.0075,2,1,Versatile (1d8),1,1,1,0.00393739248791482,0,7,
MartialMeleeWeapon,105,250,,2,250.0,Unyeilding Psychic Maul,3,,10.0,lbs,9,2,2,22.0927,2,2,"Heavy, two-handed",1,3,4,2.17907398075919,2,8,
SimpleMeleeWeapon,106,5,,2,5.0,Destroyed Mace,0,,4.0,lbs,0,0,0,2.0017,2,1,-,1,1,1,0.00359953904389175,0,6,
MartialRangeWeapon,107,2475,,2,2475.0,Renowned Fire One Handed Crossbow,4,,3.0,lbs,3,2,1,12.995,1,1,"Ammunition (range 30/120), light, loading",7,2,3,2.89343504348163,3,,1
MartialMeleeWeapon,108,490,,2,490.0,GodKiller Psychic Shortsword,4,,2.0,lbs,9,3,1,14.0725,2,1,"Finesse, light",7,3,2,1.75717758074576,2,13,
SimpleMeleeWeapon,109,5,,2,5.0,Dingy Mace,0,,4.0,lbs,0,0,0,2.0033,2,1,-,1,1,1,0.00135736412862929,0,6,
MartialRangeWeapon,110,75,,2,75.0,Normal One Handed Crossbow,1,,3.0,lbs,9,0,0,2.0045,1,1,"Ammunition (range 30/120), light, loading",7,1,1,0.364345511601022,3,,1
MartialRangeWeapon,111,1650,,2,1650.0,Mythical Thunder Heavy Crossbow,4,,18.0,lbs,12,2,1,13.0221,1,1,"Ammunition (range 100/400), heavy, loading, two-handed",7,2,3,2.71091561718713,3,,2
MartialMeleeWeapon,112,250,,2,250.0,Magic Infused Lightning Shortsword,3,,2.0,lbs,5,2,2,17.9823,2,1,"Finesse, light",7,3,3,2.2598876510412,2,13,
MartialRangeWeapon,113,450,,2,450.0,Exceptional Slashing Heavy Crossbow,2,,18.0,lbs,11,1,0,3.0051,1,1,"Ammunition (range 100/400), heavy, loading, two-handed",7,1,1,1.03341733840307,3,,2
SimpleMeleeWeapon,114,165,,2,165.0,Dominating Bludgeoning Mace,4,,4.0,lbs,1,2,2,18.0079,2,1,-,1,3,3,1.85049737058348,0,6,
SimpleMeleeWeapon,115,165,,2,165.0,Glorious Radiant Mace,4,,4.0,lbs,10,2,2,18.0242,2,1,-,1,3,3,1.94356351881543,0,6,
MartialRangeWeapon,116,850,,2,850.0,The Bee Knees Poison Heavy Crossbow,2,,18.0,lbs,8,2,0,7.9707,1,1,"Ammunition (range 100/400), heavy, loading, two-handed",7,2,2,1.35397398289759,3,,2
SimpleMeleeWeapon,117,33,,2,33.0,GodKiller Acid Sickle,4,,2.0,lbs,0,2,1,12.9759,1,1,Light,11,2,3,2.9062287234385,0,8,
SimpleRangeWeapon,118,245,,0,0.0244999993810779,Exalted Radiant Dart,4,,0.25,lbs,10,3,0,9.0106,1,1,"Finesse, thrown (range 20/60)",7,2,2,1.79021791733963,1,,1
SimpleMeleeWeapon,119,2,,1,0.0199999995529652,Dingy Light Hammer,0,,2.0,lbs,10,0,0,1.0,1,1,"Light, thrown (range 20/60)",1,0,1,0.00404358012727029,0,5,
MartialRangeWeapon,120,75,,2,75.0,Normal One Handed Crossbow,1,,3.0,lbs,0,0,0,1.9919,1,1,"Ammunition (range 30/120), light, loading",7,1,1,0.509881258227022,3,,1
SimpleRangeWeapon,121,425,,2,425.0,Nice Lightning Shortbow,2,,2.0,lbs,5,2,1,11.9752,2,1,"Ammunition (range 80/320), two-handed",7,3,2,1.29861066954136,1,,2
MartialMeleeWeapon,122,370,,2,370.0,Fuck Yeah this is Rare Acid Maul,3,,10.0,lbs,0,3,1,17.9895,2,2,"Heavy, two-handed",1,3,3,1.7810121299961,2,8,
MartialRangeWeapon,123,1650,,2,1650.0,Legendary Thunder Heavy Crossbow,4,,18.0,lbs,12,2,1,12.9835,1,1,"Ammunition (range 100/400), heavy, loading, two-handed",7,2,3,2.1811051831802,3,,2
MartialMeleeWeapon,124,660,,2,660.0,One of A Kind Cold Halberd,4,,6.0,lbs,2,2,4,28.0677,4,1,"Heavy, reach, two-handed",11,5,3,2.91017194080215,2,5,
MartialRangeWeapon,125,50,,2,50.0,Scrap Longbow,0,,2.0,lbs,10,0,0,1.0,1,1,"Ammunition (range 150/600), heavy, two-handed",7,0,1,0.00536306415495346,3,,3
SimpleMeleeWeapon,126,1,,2,1.0,Functional Spear,1,,3.0,lbs,4,0,0,3.0122,2,1,"Thrown (range 20/60), versatile (1d8)",7,2,1,0.438524624531944,0,9,
SimpleRangeWeapon,127,165,,0,0.0164999995831749,Mythical Slashing Dart,4,,0.25,lbs,11,2,1,13.0595,1,1,"Finesse, thrown (range 20/60)",7,2,3,2.26188892819747,1,,1
SimpleMeleeWeapon,128,5,,2,5.0,Junk Handaxe,0,,2.0,lbs,10,0,0,2.0055,2,1,"Light, thrown (range 20/60)",11,1,1,0.000580726352052515,0,3,
SimpleMeleeWeapon,129,66,,1,0.65999998524785,Famous Poison Light Hammer,4,,2.0,lbs,8,2,1,13.0189,1,1,"Light, thrown (range 20/60)",1,2,3,2.29406003531995,0,5,
MartialMeleeWeapon,130,225,,2,225.0,Uncommon Thunder Rapier,2,,2.0,lbs,12,1,2,6.9644,3,1,Finesse,7,3,1,0.941520095151564,2,11,
SimpleMeleeWeapon,131,74,,2,74.0,Well Crafted Radiant Dagger,3,,1.0,lbs,10,3,0,8.9933,1,1,"Finesse, light, thrown (range 20/60)",7,2,2,1.67221685489702,0,1,
MartialMeleeWeapon,132,5,,2,5.0,Useful Trident,1,,4.0,lbs,12,0,0,2.9966,2,1,"Thrown (range 20/60), versatile (1d8)",7,2,1,0.594905915775369,2,14,
SimpleRangeWeapon,133,1,,1,0.00999999977648258,Dull Sling,1,,0.0,lbs,3,0,0,1.9928,1,1,Ammunition (range 30/120),1,1,1,0.52255162638957,1,,3
SimpleRangeWeapon,134,625,,2,625.0,Well Crafted Acid Light Crossbow,3,,5.0,lbs,0,2,3,23.0555,3,1,"Ammunition (range 80/320), loading, two-handed",7,4,3,1.86968032462686,1,,0
SimpleMeleeWeapon,135,1,,2,1.0,Broken Sickle,0,,2.0,lbs,4,0,0,1.0,1,1,Light,11,0,1,0.00455348021792636,0,8,
SimpleMeleeWeapon,136,5,,2,5.0,Junk Handaxe,0,,2.0,lbs,1,0,0,2.0038,2,1,"Light, thrown (range 20/60)",11,1,1,0.00848406774940043,0,3,
MartialRangeWeapon,137,50,,2,50.0,Dull Longbow,1,,2.0,lbs,10,0,0,2.0036,1,1,"Ammunition (range 150/600), heavy, two-handed",7,1,1,0.570238748509826,3,,3
SimpleMeleeWeapon,138,1,,2,1.0,Worthless Sickle,0,,2.0,lbs,7,0,0,1.0,1,1,Light,11,0,1,0.00479996125475498,0,8,
SimpleMeleeWeapon,139,2,,1,0.0199999995529652,Trash Light Hammer,0,,2.0,lbs,12,0,0,1.0,1,1,"Light, thrown (range 20/60)",1,0,1,0.0070616734840924,0,5,
MartialRangeWeapon,140,1,,2,1.0,Broken Net,0,,3.0,lbs,12,0,0,1.0,1,1,"Special, thrown (range 5/15)",,0,1,0.000548997218610984,3,,4
MartialRangeWeapon,141,850,,2,850.0,Unusual Slashing Heavy Crossbow,2,,18.0,lbs,11,2,0,7.9832,1,1,"Ammunition (range 100/400), heavy, loading, two-handed",7,2,2,1.28230111499465,3,,2
MartialRangeWeapon,142,90,,2,90.0,Sharp Poison Blowgun,2,,1.0,lbs,8,1,0,2.0,0,1,"Ammunition (range 25/100), loading",7,0,1,0.836055390523557,3,,0
